Ticker,DateKey,month_end_close,monthly_high,monthly_low,total_volume,monthly_return
AAL,201508,38.98,44.45,34.1,216683826,-2.7930174563591135
AAL,201509,38.83,44.59,37.72,221864055,-0.38481272447408565
AAL,201510,46.22,46.77,37.42,232657041,19.031676538758692
AAL,201511,41.26,47.09,40.45,138401629,-10.731285157940288
AAL,201512,42.35,46.49,40.7,170663254,2.6417838099854665
AAL,201601,38.99,42.74,36.2,237116073,-7.933884297520659
AAL,201602,41.0,41.6,34.76,184042964,5.155167991792762
AAL,201603,41.01,43.78,40.05,164028827,0.02439024390243417
AAL,201604,34.69,41.76,34.1,206584339,-15.410875396244819
AAL,201605,31.91,35.165,30.99,204488301,-8.01383684058806
AAL,201606,28.31,33.58,24.85,274277522,-11.281729865246009
AAL,201607,35.5,36.739,27.12,248243493,25.397386082656308
AAL,201608,36.3,37.355,33.0,181410357,2.2535211267605555
AAL,201609,36.61,39.52,33.9,162150327,0.853994490358133
AAL,201610,40.6,40.93,36.33,176375805,10.898661567877635
AAL,201611,46.44,47.14,39.24,148409350,14.384236453201959
AAL,201612,46.69,50.64,45.58,122810423,0.5383290267011198
AAL,201701,44.25,50.0,43.742,147289715,-5.22595844934675
AAL,201702,46.36,48.05,43.57,110361270,4.768361581920902
AAL,201703,42.3,48.135,39.21,177947053,-8.757549611734259
AAL,201704,42.62,47.39,40.82,136321182,0.7565011820330977
AAL,201705,48.41,48.82,42.01,130919056,13.585171281088689
AAL,201706,50.32,51.95,48.01,133266730,3.945465812848593
AAL,201707,50.44,54.48,48.73,111659707,0.2384737678855275
AAL,201708,44.74,52.0,42.67,122959810,-11.300555114988097
AAL,201709,47.49,48.6,42.6066,131325139,6.146624944121591
AAL,201710,46.82,53.74,46.79,118566288,-1.4108233312276304
AAL,201711,50.49,51.16,45.27,73185721,7.838530542503206
AAL,201712,52.03,53.47,48.69,80012095,3.050108932461872
AAL,201801,54.32,59.08,51.9,121867885,4.401306938304823
AAL,201802,51.4,54.64,48.79,27239034,-5.375552282768781
AAP,201302,76.34,81.44,76.22,13528238,
AAP,201303,82.65,83.07,75.623,19092744,8.265653654702648
AAP,201304,83.88,84.01,77.98,20008691,1.4882032667876461
AAP,201305,81.52,88.74,81.51,13256965,-2.8135431568907956
AAP,201306,81.17,84.96,79.47,12641823,-0.42934249263983604
AAP,201307,82.49,84.16,81.03,12108439,1.6262165824812036
AAP,201308,80.07,84.93,79.33,16011134,-2.9336889319917585
AAP,201309,82.68,82.82,78.91,11775749,3.2596478081678706
AAP,201310,99.18,102.82,80.28,24554028,19.956458635703918
AAP,201311,101.01,102.84,96.58,13039177,1.845130066545673
AAP,201312,110.68,111.94,100.94,18666034,9.573309573309574
AAP,201401,114.81,120.31,109.29,16162790,3.7314781351644335
AAP,201402,127.36,129.1,109.58,22294221,10.931103562407452
AAP,201403,126.5,129.99,122.07,16189110,-0.6752512562814066
AAP,201404,121.29,128.49,115.76,14865647,-4.118577075098809
AAP,201405,124.17,128.45,118.51,17926587,2.374474400197869
AAP,201406,134.92,136.12,123.2005,16626697,8.657485705081731
AAP,201407,121.11,135.95,121.03,13998424,-10.23569522680106
AAP,201408,136.42,138.06,121.1701,15936143,12.64140037981999
AAP,201409,130.3,139.58,128.2,12613145,-4.486145726433057
AAP,201410,146.96,147.25,129.08,19707241,12.785878741366075
AAP,201411,147.08,149.835,137.17,17437905,0.08165487207403684
AAP,201412,159.28,163.36,146.13,16632736,8.29480554800108
AAP,201501,159.0,163.46,147.2001,16230522,-0.17579105976896103
AAP,201502,154.93,164.9997,148.5,21953387,-2.5597484276729516
AAP,201503,149.69,156.6,145.1,19275738,-3.382172594074749
AAP,201504,143.0,154.66,142.9,21068725,-4.469236421938671
AAP,201505,153.22,161.55,142.63,23058203,7.146853146853147
AAP,201506,159.29,165.16,152.2,15682123,3.9616238089022273
AAP,201507,174.21,175.0,159.12,30088761,9.366564128319428
AAP,201508,175.25,192.27,151.3,27556690,0.5969806555306768
AAP,201509,189.53,192.5,169.4,18375750,8.148359486447934
AAP,201510,198.43,199.39,185.16,16752134,4.695826518229307
AAP,201511,162.73,201.24,159.69,26161504,-17.99123116464245
AAP,201512,150.51,164.25,144.73,30739552,-7.5093713513181335
AAP,201601,152.05,154.48,137.66,21189227,1.0231878280513058
AAP,201602,148.44,156.34,131.59,24174155,-2.374219006905632
AAP,201603,160.34,165.99,149.17,15608052,8.016707087038538
AAP,201604,156.1,164.135,153.5,12810314,-2.6443806910315635
AAP,201605,153.84,157.76,132.98,28353026,-1.447789878283146
AAP,201606,161.63,161.78,148.51,26788908,5.063702548101919
AAP,201607,169.86,172.87,160.05,16241025,5.091876508074008
AAP,201608,157.38,171.95,155.89,25966879,-7.3472271282232535
AAP,201609,149.12,162.2799,145.15,23733888,-5.248443258355566
AAP,201610,140.08,149.82,138.02,18407333,-6.0622317596566475
AAP,201611,169.72,174.31,134.08,32188993,21.159337521416322
AAP,201612,169.12,177.83,167.32,15394303,-0.35352345038887245
AAP,201701,164.24,177.5,162.27,17336738,-2.8855250709555316
AAP,201702,156.61,169.55,155.18,27618019,-4.645640526059422
AAP,201703,148.26,158.59,146.175,22654587,-5.331715726965087
AAP,201704,142.14,149.2,140.12,19523127,-4.127883447996766
AAP,201705,133.63,151.72,129.4,36336248,-5.987055016181224
AAP,201706,116.59,138.23,115.62,35920423,-12.751627628526524
AAP,201707,112.01,118.73,99.13,39701377,-3.928295737198729
AAP,201708,97.9,115.4,82.21,64524714,-12.597089545576287
AAP,201709,99.2,100.71,91.46,36524962,1.327885597548516
AAP,201710,81.74,100.095,81.13,42923860,-17.60080645161291
AAP,201711,101.0,102.89,78.81,47199722,23.562515292390515
AAP,201712,99.69,107.79,96.57,26814240,-1.2970297029702993
AAP,201801,116.99,123.9,99.71,30766650,17.353796769986957
AAP,201802,109.93,118.83,106.745,6538883,-6.034703820839378
AAPL,201302,63.0571,69.2771,62.5228,1611612359,
AAPL,201303,63.2371,67.1356,59.8571,2288916525,0.2854555632910485
AAPL,201304,63.2542,63.6071,55.0142,2733426556,0.027041088221944443
AAPL,201305,64.2478,66.5356,59.8428,2359987959,1.5708047845044295
